# Physical facts for every registered body (bible sections 18 and 44).
# Source: NASA Planetary Fact Sheets, https://nssdc.gsfc.nasa.gov/planetary/factsheet/
# Planet positions come from the Horizons tables; semi-major axis, eccentricity
# and period drive moons and the HUD. Negative rotation = retrograde spin;
# negative period = retrograde orbit. Parents must appear before children.
# material selects a surface preset (MaterialLibrary): emissive, rocky, ocean, cloud, gas, ice.
id,name,parent,radius_km,semi_major_axis_km,eccentricity,orbital_period_days,rotation_period_hours,axial_tilt_deg,texture,material,type
sun,Sun,,696340.0,0,0,0,587.28,7.25,assets/textures/bodies/sun.jpg,emissive,star
mercury,Mercury,,2439.7,57909050.0,0.2056,87.969,1407.6,0.034,assets/textures/bodies/mercury.jpg,rocky,planet
venus,Venus,,6051.8,108208000.0,0.0068,224.701,-5832.5,177.4,assets/textures/bodies/venus.jpg,cloud,planet
earth,Earth,,6371.0,149598023.0,0.0167,365.256,23.9345,23.44,assets/textures/bodies/earth.jpg,ocean,planet
mars,Mars,,3389.5,227939200.0,0.0934,686.980,24.6229,25.19,assets/textures/bodies/mars.jpg,rocky,planet
jupiter,Jupiter,,69911.0,778570000.0,0.0489,4332.59,9.9250,3.13,assets/textures/bodies/jupiter.jpg,gas,planet
saturn,Saturn,,58232.0,1433530000.0,0.0565,10759.22,10.656,26.73,assets/textures/bodies/saturn.jpg,gas,planet
uranus,Uranus,,25362.0,2872460000.0,0.0464,30688.5,17.24,97.77,assets/textures/bodies/uranus.jpg,gas,planet
neptune,Neptune,,24622.0,4495060000.0,0.0086,60195.0,16.11,28.32,assets/textures/bodies/neptune.jpg,gas,planet
pluto,Pluto,,1188.3,5906440000.0,0.2488,90560.0,-153.3,122.53,assets/textures/bodies/pluto.jpg,ice,dwarf
moon,Moon,earth,1737.4,384400.0,0.0549,27.322,655.7,6.68,assets/textures/bodies/moon.jpg,rocky,moon
io,Io,jupiter,1821.6,421700.0,0.0041,1.769,42.46,0.0,assets/textures/bodies/io.jpg,rocky,moon
europa,Europa,jupiter,1560.8,671100.0,0.009,3.551,85.2,0.1,assets/textures/bodies/europa.jpg,ice,moon
ganymede,Ganymede,jupiter,2634.1,1070400.0,0.0013,7.155,171.7,0.33,assets/textures/bodies/ganymede.jpg,ice,moon
callisto,Callisto,jupiter,2410.3,1882700.0,0.0074,16.69,400.5,0.0,assets/textures/bodies/callisto.jpg,rocky,moon
tethys,Tethys,saturn,531.1,294619.0,0.0001,1.888,45.3,0.0,assets/textures/bodies/tethys.jpg,ice,moon
dione,Dione,saturn,561.4,377396.0,0.0022,2.737,65.7,0.0,assets/textures/bodies/dione.jpg,ice,moon
rhea,Rhea,saturn,763.8,527108.0,0.001,4.518,108.4,0.0,assets/textures/bodies/rhea.jpg,ice,moon
titan,Titan,saturn,2574.7,1221870.0,0.0288,15.945,382.7,0.3,assets/textures/bodies/titan.jpg,cloud,moon
iapetus,Iapetus,saturn,734.5,3560820.0,0.0286,79.32,1903.7,0.0,assets/textures/bodies/iapetus.jpg,ice,moon
miranda,Miranda,uranus,235.8,129900.0,0.0013,1.413,33.9,0.0,assets/textures/bodies/miranda.jpg,ice,moon
ariel,Ariel,uranus,578.9,190900.0,0.0012,2.520,60.5,0.0,assets/textures/bodies/ariel.jpg,ice,moon
umbriel,Umbriel,uranus,584.7,266000.0,0.0039,4.144,99.5,0.0,assets/textures/bodies/umbriel.jpg,ice,moon
titania,Titania,uranus,788.4,436300.0,0.0011,8.706,208.9,0.0,assets/textures/bodies/titania.jpg,ice,moon
oberon,Oberon,uranus,761.4,583500.0,0.0014,13.46,323.1,0.0,assets/textures/bodies/oberon.jpg,ice,moon
triton,Triton,neptune,1353.4,354800.0,0.00002,-5.877,141.0,157.0,assets/textures/bodies/triton.jpg,ice,moon
