# NASA/JPL Horizons target 399 (earth), center 500@10, ECLIPTIC/ICRF, AU and AU/day
# State vectors 1977-08-21..2030-01-02 every 5d; retrieved 2026-09-24 by scripts/fetch_horizons.ps1
julian_date,x_au,y_au,z_au,vx_au_d,vy_au_d,vz_au_d
2443376.500000000,8.592694698593615E-01,-5.338542360579698E-01,-2.328732248400298E-05,8.794755596189105E-03,1.455458443789846E-02,1.780073774412937E-07
2443381.500000000,9.001111064038565E-01,-4.592795336784472E-01,-2.081247788368676E-05,7.533224307084073E-03,1.525756182975677E-02,8.843122006550736E-07
2443386.500000000,9.345196183656929E-01,-3.814496122353380E-01,-1.472987270722257E-05,6.221915774697148E-03,1.585761645715994E-02,1.435196841299060E-06
2443391.500000000,9.622458737253620E-01,-3.008758742310466E-01,-7.784413126988802E-06,4.860249250606191E-03,1.635384540654055E-02,1.228803732123855E-06
2443396.500000000,9.830437248347009E-01,-2.181003620635221E-01,-3.177745858821401E-06,3.451713046310230E-03,1.673655419952020E-02,5.870194782878329E-07
2443401.500000000,9.967007534341326E-01,-1.337178138418303E-01,-1.556946832973621E-06,2.006170270147340E-03,1.699480293586166E-02,1.678489143669324E-07
2443406.500000000,1.003074355727514E+00,-4.837292172891031E-02,-2.020871822070853E-08,5.420161966050933E-04,1.712131761165587E-02,5.840831180369394E-07
2443411.500000000,1.002120797222896E+00,3.728590073326988E-02,4.834892869360150E-06,-9.227916841807533E-04,1.712219085329502E-02,1.315227734826583E-06
2443416.500000000,9.938535945516364E-01,1.226533803937600E-01,1.202578874279285E-05,-2.383368927395796E-03,1.700524594139884E-02,1.423910644566342E-06
2443421.500000000,9.782974142793806E-01,2.071383597810220E-01,1.795326878397596E-05,-3.837494998858028E-03,1.676822835285314E-02,8.761081268642577E-07
2443426.500000000,9.555031810937474E-01,2.901255161216197E-01,2.058022670555121E-05,-5.276745581502235E-03,1.640510567888370E-02,2.124829904001006E-07
2443431.500000000,9.255789702797116E-01,3.709694369247834E-01,2.115582801063103E-05,-6.686176859010532E-03,1.591031832533422E-02,1.797537376093951E-07
2443436.500000000,8.887281535956049E-01,4.490158151261984E-01,2.370256976320938E-05,-8.044127251637410E-03,1.528832269655083E-02,8.843882369294944E-07
2443441.500000000,8.452418740427815E-01,5.236664170700660E-01,2.947790653498394E-05,-9.339893490892197E-03,1.455417563819820E-02,1.307251658460263E-06
2443446.500000000,7.954346688253305E-01,5.943832531942549E-01,3.548198214039205E-05,-1.057221110612229E-02,1.371518400142509E-02,9.845782388236317E-07
2443451.500000000,7.396332129904033E-01,6.606437339709439E-01,3.867167043834719E-05,-1.173628081230338E-02,1.277150006826647E-02,2.762618294080110E-07
2443456.500000000,6.782024275359362E-01,7.219228758951020E-01,3.867040105883724E-05,-1.282177692692214E-02,1.172260166305083E-02,-1.692827843788604E-07
2443461.500000000,6.115753442610039E-01,7.776980654944916E-01,3.851424870393768E-05,-1.381120493432002E-02,1.057140649924624E-02,2.492579026469430E-07
2443466.500000000,5.402788696101003E-01,8.274960400016897E-01,4.154593460210439E-05,-1.468836087250243E-02,9.335535483506309E-03,8.934708919096525E-07
2443471.500000000,4.648789697776425E-01,8.709419122286899E-01,4.626322018972823E-05,-1.545309398102083E-02,8.032371094048847E-03,8.657288514606315E-07
2443476.500000000,3.859333262751146E-01,9.077193982395548E-01,4.920537799405247E-05,-1.610640558105041E-02,6.668913283094071E-03,2.534916311851510E-07
2443481.500000000,3.040071749931345E-01,9.375371243602698E-01,4.874310124015845E-05,-1.664421987120804E-02,5.249135390171746E-03,-3.893873635451307E-07
2443486.500000000,2.196983819455776E-01,9.601246103828142E-01,4.636510575054129E-05,-1.705738104810335E-02,3.777866845702433E-03,-4.093671476896173E-07
2443491.500000000,1.336663093168500E-01,9.752508762774675E-01,4.594026226603845E-05,-1.733131401334563E-02,2.268353457182757E-03,2.745212679670465E-07
