# NASA/JPL Horizons target 599 (jupiter), center 500@10, ECLIPTIC/ICRF, AU and AU/day
# State vectors 1977-08-21..2030-01-02 every 20d; retrieved 2026-09-24 by scripts/fetch_horizons.ps1
julian_date,x_au,y_au,z_au,vx_au_d,vy_au_d,vz_au_d
2443376.500000000,8.208515681434543E-01,5.025613360305336E+00,-3.905518868374855E-02,-7.544275399385783E-03,1.569142791022881E-03,1.625022660395036E-04
2443396.500000000,6.696371676882091E-01,5.054749254484038E+00,-3.578756000761679E-02,-7.576996819879798E-03,1.343353185324971E-03,1.641868262332860E-04
2443416.500000000,5.178248256111299E-01,5.079366847328445E+00,-3.248794820103049E-02,-7.603035929566386E-03,1.118825805440956E-03,1.657672044946351E-04
2443436.500000000,3.655503512371712E-01,5.099463458818376E+00,-2.915943052459577E-02,-7.622559480015915E-03,8.920911592952621E-04,1.671095364224612E-04
2443456.500000000,2.129509284382412E-01,5.115040395625893E+00,-2.580504750002118E-02,-7.635627731642721E-03,6.650251316562330E-04,1.682868741180302E-04
2443476.500000000,6.016390608026681E-02,5.126100741744311E+00,-2.242789552182638E-02,-7.642085910079478E-03,4.403234947000132E-04,1.693780944397790E-04
2443496.500000000,-9.267618078373956E-02,5.132652066209249E+00,-1.903106453622827E-02,-7.641803998402277E-03,2.152304197886914E-04,1.702788421654636E-04
2443516.500000000,-2.454347843423246E-01,5.134707505977748E+00,-1.561759445243877E-02,-7.633649586536249E-03,-9.459648766601927E-06,1.710355605492496E-04
2443536.500000000,-3.979793691449254E-01,5.132285440370756E+00,-1.219046980503069E-02,-7.618461004391314E-03,-2.322839445822045E-04,1.716778070557271E-04
2443556.500000000,-5.501797628727754E-01,5.125408050053777E+00,-8.752656174766752E-03,-7.599271869265751E-03,-4.549630557734757E-04,1.721029770302459E-04
2443576.500000000,-7.019050786577948E-01,5.114097487267821E+00,-5.307225063814181E-03,-7.573392966026503E-03,-6.765093269524527E-04,1.723779355252374E-04
2443596.500000000,-8.530259692298494E-01,5.098379488087354E+00,-1.857246923213278E-03,-7.538674939208932E-03,-8.955204013022553E-04,1.725659177500014E-04
2443616.500000000,-1.003415176251193E+00,5.078287739087179E+00,1.594338448510981E-03,-7.498715558614090E-03,-1.112718627089734E-03,1.725960859046902E-04
2443636.500000000,-1.152947657335899E+00,5.053859074695632E+00,5.044603299638885E-03,-7.452992585270079E-03,-1.329098202288987E-03,1.724365458842271E-04
2443656.500000000,-1.301500225226904E+00,5.025132589119226E+00,8.490611473730345E-03,-7.400578704144299E-03,-1.543795110986138E-03,1.721260952640360E-04
2443676.500000000,-1.448950220357745E+00,4.992150132459069E+00,1.192944471057943E-02,-7.343532510502714E-03,-1.754781134229128E-03,1.717084959310072E-04
2443696.500000000,-1.595177773411576E+00,4.954955197761137E+00,1.535812839871511E-02,-7.279710696072419E-03,-1.963752286472914E-03,1.711393159409159E-04
2443716.500000000,-1.740065625320660E+00,4.913597585109926E+00,1.877385862426623E-02,-7.208330311181068E-03,-2.171350256731336E-03,1.704131167272602E-04
2443736.500000000,-1.883497835401179E+00,4.868132027225279E+00,2.217395751054099E-02,-7.132439159972356E-03,-2.374882435617996E-03,1.695878536646182E-04
