# NASA/JPL Horizons target 499 (mars), center 500@10, ECLIPTIC/ICRF, AU and AU/day
# State vectors 1977-08-21..2030-01-02 every 5d; retrieved 2026-09-24 by scripts/fetch_horizons.ps1
julian_date,x_au,y_au,z_au,vx_au_d,vy_au_d,vz_au_d
2443376.500000000,1.040412901048096E+00,1.025406392722297E+00,-4.152215971773068E-03,-9.286899986664756E-03,1.115673638452974E-02,4.623467456403447E-04
2443381.500000000,9.927674194163331E-01,1.079956781707323E+00,-1.836485767060761E-03,-9.766541817501074E-03,1.066017169674632E-02,4.637603234970558E-04
2443386.500000000,9.427954373002828E-01,1.131977150778226E+00,4.835577605691954E-04,-1.021741523106382E-02,1.014503101300222E-02,4.640763046649748E-04
2443391.500000000,8.906419669134306E-01,1.181379138883453E+00,2.802492493009701E-03,-1.063907266483876E-02,9.613117582672664E-03,4.633214583918683E-04
2443396.500000000,8.364539578933924E-01,1.228083330342242E+00,5.115035845421891E-03,-1.103118547721081E-02,9.066205105258868E-03,4.615247807376952E-04
2443401.500000000,7.803797209966494E-01,1.272019088377116E+00,7.416055406222966E-03,-1.139353645612656E-02,8.506030306271525E-03,4.587172398618392E-04
2443406.500000000,7.225683910323991E-01,1.313124355573140E+00,9.700577891089263E-03,-1.172601193828433E-02,7.934287245658665E-03,4.549315019389881E-04
2443411.500000000,6.631694291272396E-01,1.351345427740438E+00,1.196379667870255E-02,-1.202859386415346E-02,7.352622537331930E-03,4.502015515166740E-04
2443416.500000000,6.023321620020122E-01,1.386636705753382E+00,1.420107822089897E-02,-1.230135277008118E-02,6.762630871523847E-03,4.445625415822161E-04
2443421.500000000,5.402053575819437E-01,1.418960426297041E+00,1.640796715248197E-02,-1.254444035244995E-02,6.165851178081312E-03,4.380505571105502E-04
2443426.500000000,4.769368402393374E-01,1.448286374895158E+00,1.858018977233522E-02,-1.275808103498080E-02,5.563763824257882E-03,4.307021625984028E-04
2443431.500000000,4.126731461340000E-01,1.474591588718392E+00,2.071365614541590E-02,-1.294256436597705E-02,4.957788958282278E-03,4.225542204582626E-04
2443436.500000000,3.475592152196478E-01,1.497860054295735E+00,2.280446123342268E-02,-1.309823819070151E-02,4.349285980951834E-03,4.136438124690517E-04
2443441.500000000,2.817381169985446E-01,1.518082402514463E+00,2.484888522512500E-02,-1.322550184701373E-02,3.739553289275780E-03,4.040079604782386E-04
2443446.500000000,2.153508082277060E-01,1.535255603083511E+00,2.684339311636053E-02,-1.332479999305389E-02,3.129828113987203E-03,3.936834969349272E-04
2443451.500000000,1.485359209394665E-01,1.549382660749031E+00,2.878463357993481E-02,-1.339661692357618E-02,2.521287261310083E-03,3.827070403902103E-04
2443456.500000000,8.142957889810605E-02,1.560472315396686E+00,3.066943721573583E-02,-1.344147085030446E-02,1.915048229862874E-03,3.711147695557243E-04
2443461.500000000,1.416524048868004E-02,1.568538747962052E+00,3.249481427702190E-02,-1.345990881782938E-02,1.312170249430821E-03,3.589423128810371E-04
2443466.500000000,-5.312643396351548E-02,1.573601293726216E+00,3.425795193650946E-02,-1.345250224950890E-02,7.136560087230574E-04,3.462247868460821E-04
2443471.500000000,-1.203176924926593E-01,1.575684164241241E+00,3.595621117458696E-02,-1.341984247642739E-02,1.204536836752318E-04,3.329966358962333E-04
2443476.500000000,-1.872837814184441E-01,1.574816178924435E+00,3.758712337008613E-02,-1.336253679725093E-02,-4.665413276117011E-04,3.192915353511390E-04
2443481.500000000,-2.539030167381150E-01,1.571030507089320E+00,3.914838662964573E-02,-1.328120519270256E-02,-1.046484201553186E-03,3.051424726541658E-04
2443486.500000000,-3.200568386684850E-01,1.564364420957611E+00,4.063786189688482E-02,-1.317647695055857E-02,-1.618578200987674E-03,2.905816386843253E-04
