# NASA/JPL Horizons target 199 (mercury), center 500@10, ECLIPTIC/ICRF, AU and AU/day
# State vectors 1977-08-21..2030-01-02 every 4d; retrieved 2026-09-24 by scripts/fetch_horizons.ps1
julian_date,x_au,y_au,z_au,vx_au_d,vy_au_d,vz_au_d
2443376.500000000,1.483758220191675E-01,-4.208906570551233E-01,-4.799692986477908E-02,2.089747797964783E-02,1.078471223805728E-02,-1.038610102686862E-03
2443380.500000000,2.272185294055275E-01,-3.668394218666250E-01,-5.082427153405100E-02,1.830118866751124E-02,1.620530139412490E-02,-3.575159033209512E-04
2443384.500000000,2.928839401568392E-01,-2.917117680633044E-01,-5.072027885359005E-02,1.427813687026242E-02,2.127340942673192E-02,4.258328217517752E-04
2443388.500000000,3.392934795258791E-01,-1.976246203959323E-01,-4.729954554822224E-02,8.644131544284325E-03,2.560451665154070E-02,1.296952775651515E-03
2443392.500000000,3.597162641492456E-01,-8.866272578300943E-02,-4.027744809040219E-02,1.277135075106090E-03,2.858503727518333E-02,2.216946748633364E-03
2443396.500000000,3.473415129838597E-01,2.805670117120707E-02,-2.960965640470965E-02,-7.697515429727380E-03,2.930766610808271E-02,3.100212902796164E-03
2443400.500000000,2.968967540373900E-01,1.412882783617587E-01,-1.573022866694253E-02,-1.756814953368850E-02,2.665425706210072E-02,3.790081886531025E-03
2443404.500000000,2.077738487475804E-01,2.356132526585985E-01,1.575955768571488E-04,-2.667466191869099E-02,1.978513452515862E-02,4.065517543126075E-03
2443408.500000000,8.776723194730161E-02,2.943982486369046E-01,1.597967654835854E-02,-3.259695509561315E-02,9.106510396026385E-03,3.737422886450787E-03
2443412.500000000,-4.615944268914051E-02,3.063065835698593E-01,2.925227556713590E-02,-3.346244783649221E-02,-3.162377651541902E-03,2.815037398585096E-03
2443416.500000000,-1.732430641529996E-01,2.709818257150466E-01,3.803934604980400E-02,-2.937291704539544E-02,-1.406240949323788E-02,1.549349606599240E-03
2443420.500000000,-2.769211463615618E-01,1.982273140042486E-01,4.162028345801335E-02,-2.212095253103653E-02,-2.170568058447156E-02,2.591620537331009E-04
2443424.500000000,-3.487226516181854E-01,1.021192777948006E-01,4.036654877821525E-02,-1.372706410155213E-02,-2.579109056604737E-02,-8.453680254092299E-04
2443428.500000000,-3.870585393853841E-01,-4.150509259621410E-03,3.520944031888901E-02,-5.549811812898157E-03,-2.691780722315725E-02,-1.688394792296774E-03
2443432.500000000,-3.943149616312896E-01,-1.103379905552074E-01,2.720463808936521E-02,1.746063563711947E-03,-2.587544269453585E-02,-2.273346472842635E-03
2443436.500000000,-3.745875598713054E-01,-2.091551148602510E-01,1.732343849495113E-02,7.925168228986413E-03,-2.332736835242340E-02,-2.632774844756893E-03
2443440.500000000,-3.324477494752488E-01,-2.955923840145600E-01,6.394767422583024E-03,1.295588443514481E-02,-1.975068799975655E-02,-2.802736389056072E-03
2443444.500000000,-2.724153565389131E-01,-3.662236060777931E-01,-4.886480270942955E-03,1.688067015926987E-02,-1.546768231315745E-02,-2.813448033267388E-03
