# NASA/JPL Horizons target 899 (neptune), center 500@10, ECLIPTIC/ICRF, AU and AU/day
# State vectors 1977-08-21..2030-01-02 every 30d; retrieved 2026-09-24 by scripts/fetch_horizons.ps1
julian_date,x_au,y_au,z_au,vx_au_d,vy_au_d,vz_au_d
2443376.500000000,-7.565075068465505E+00,-2.931828267082665E+01,7.780792054448282E-01,3.011147636232471E-03,-7.665698614764309E-04,-5.356542910454529E-05
2443406.500000000,-7.474692077579393E+00,-2.934113672417966E+01,7.764686166960452E-01,3.013477739319398E-03,-7.573208178986231E-04,-5.357102027998820E-05
2443436.500000000,-7.384238380897245E+00,-2.936372065886601E+01,7.748507084451234E-01,3.016034099066874E-03,-7.480690673900533E-04,-5.368035648136936E-05
2443466.500000000,-7.293713162450755E+00,-2.938603383244104E+01,7.732253594570316E-01,3.018713616990373E-03,-7.388713095286363E-04,-5.394695357464212E-05
2443496.500000000,-7.203116752140859E+00,-2.940807532107988E+01,7.715925186501987E-01,3.021365196673459E-03,-7.298091634746143E-04,-5.436511015015331E-05
2443526.500000000,-7.112449824126032E+00,-2.942984475486572E+01,7.699521312792103E-01,3.023870781738948E-03,-7.208934744771387E-04,-5.486433529788569E-05
2443556.500000000,-7.021713204765452E+00,-2.945134157964782E+01,7.683042402604056E-01,3.026136308280493E-03,-7.120534721448170E-04,-5.533400210756982E-05
2443586.500000000,-6.930908060393501E+00,-2.947256586504437E+01,7.666489546478306E-01,3.028190528468158E-03,-7.032114451056238E-04,-5.568298295079490E-05
2443616.500000000,-6.840034603819795E+00,-2.949351812081055E+01,7.649863141865829E-01,3.030171735124034E-03,-6.942603044609991E-04,-5.587194616551826E-05
2443646.500000000,-6.749092452294604E+00,-2.951419777493695E+01,7.633163782800659E-01,3.032192415067586E-03,-6.851180996544218E-04,-5.592105459621793E-05
2443676.500000000,-6.658081642864062E+00,-2.953460384920804E+01,7.616391938279949E-01,3.034354879940950E-03,-6.757957574802731E-04,-5.591186320878851E-05
2443706.500000000,-6.567002287363773E+00,-2.955473524701054E+01,7.599547135869859E-01,3.036713915011133E-03,-6.663537701460550E-04,-5.595277746484108E-05
2443736.500000000,-6.475855341691333E+00,-2.957459041342064E+01,7.582629318038576E-01,3.039186066185766E-03,-6.569146351551050E-04,-5.612780884410172E-05
2443766.500000000,-6.384642727142889E+00,-2.959416892263179E+01,7.565638413154213E-01,3.041655191592940E-03,-6.476199871104423E-04,-5.646567783883640E-05
2443796.500000000,-6.293365750267728E+00,-2.961347152807832E+01,7.548573553624216E-01,3.044030588595890E-03,-6.385109083739555E-04,-5.692738673627664E-05
2443826.500000000,-6.202025174159769E+00,-2.963249887258431E+01,7.531434537649087E-01,3.046219432739466E-03,-6.295595063621794E-04,-5.742277442215521E-05
2443856.500000000,-6.110621247642030E+00,-2.965125181058249E+01,7.514221404954741E-01,3.048217502755904E-03,-6.206834568796001E-04,-5.784914496194060E-05
2443886.500000000,-6.019153055316552E+00,-2.966973051928849E+01,7.496933922466885E-01,3.050103022477299E-03,-6.117166560462227E-04,-5.812807374853957E-05
2443916.500000000,-5.927620006846440E+00,-2.968793350064599E+01,7.479573047238826E-01,3.051953924050815E-03,-6.025436313437019E-04,-5.824272863964853E-05
2443946.500000000,-5.836022581682273E+00,-2.970585908634213E+01,7.462140015412996E-01,3.053876187339863E-03,-5.931599984911369E-04,-5.825003824747319E-05
2443976.500000000,-5.744361528072919E+00,-2.972350589364408E+01,7.444635329496804E-01,3.055947784474097E-03,-5.836116058218000E-04,-5.824743655444320E-05
2444006.500000000,-5.652638353784933E+00,-2.974087274203605E+01,7.427059627712228E-01,3.058151329954107E-03,-5.740240602999310E-04,-5.833447230319489E-05
2444036.500000000,-5.560854700721842E+00,-2.975795975916949E+01,7.409412577762022E-01,3.060443307380528E-03,-5.645426492615182E-04,-5.857953417714469E-05
2444066.500000000,-5.469011065077024E+00,-2.977476752025112E+01,7.391692642062455E-01,3.062736994246705E-03,-5.552207327788465E-04,-5.898297461369527E-05
2444096.500000000,-5.377107774956562E+00,-2.979129591506983E+01,7.373898934936826E-01,3.064895154082794E-03,-5.460551297816569E-04,-5.947478928203909E-05
2444126.500000000,-5.285145220039723E+00,-2.980754470969184E+01,7.356030898661284E-01,3.066850113141513E-03,-5.369737766015088E-04,-5.995063732903973E-05
2444156.500000000,-5.193123586581865E+00,-2.982351303922515E+01,7.338088499220139E-01,3.068603746159571E-03,-5.278367335418323E-04,-6.031266521222190E-05
2444186.500000000,-5.101044109344760E+00,-2.983919957449215E+01,7.320073411059496E-01,3.070201092740090E-03,-5.185672993328267E-04,-6.050958225589926E-05
2444216.500000000,-5.008908427920663E+00,-2.985460398566019E+01,7.301987328732715E-01,3.071777900782392E-03,-5.091438336876140E-04,-6.055937889272947E-05
2444246.500000000,-4.916717302916338E+00,-2.986972636908853E+01,7.283831082748635E-01,3.073476755700220E-03,-4.995614657184163E-04,-6.054029879443478E-05
2444276.500000000,-4.824471322403989E+00,-2.988456675756921E+01,7.265605266506602E-01,3.075364785718119E-03,-4.899106438031387E-04,-6.056268362447033E-05
2444306.500000000,-4.732170455743932E+00,-2.989912546852751E+01,7.247309043933242E-01,3.077445229282699E-03,-4.802988286443747E-04,-6.071970928430364E-05
2444336.500000000,-4.639813874284310E+00,-2.991340184036471E+01,7.228940684798497E-01,3.079613280241578E-03,-4.707597025304526E-04,-6.104166632535987E-05
2444366.500000000,-4.547401795176549E+00,-2.992739418153560E+01,7.210499392418025E-01,3.081699541432853E-03,-4.613267249555443E-04,-6.149332233121635E-05
2444396.500000000,-4.454935434137440E+00,-2.994110107551992E+01,7.191984786629663E-01,3.083582748770636E-03,-4.519941200935154E-04,-6.198909109767376E-05
2444426.500000000,-4.362416380871568E+00,-2.995452118712977E+01,7.173397284116877E-01,3.085192725844643E-03,-4.426750197572655E-04,-6.241738868439417E-05
2444456.500000000,-4.269847097819303E+00,-2.996765384972560E+01,7.154738611040153E-01,3.086561493970414E-03,-4.333018657555780E-04,-6.269639057431348E-05
2444486.500000000,-4.177229541083031E+00,-2.998049972376422E+01,7.136010006106138E-01,3.087850076490981E-03,-4.238201963657458E-04,-6.281288751942890E-05
2444516.500000000,-4.084564278225403E+00,-2.999305936010558E+01,7.117212081885268E-01,3.089210837863447E-03,-4.141817449338752E-04,-6.281615640721955E-05
2444546.500000000,-3.991851563910627E+00,-3.000533290123707E+01,7.098345269541255E-01,3.090743608364920E-03,-4.044237259035168E-04,-6.280157580140224E-05
2444576.500000000,-3.899091132138442E+00,-3.001732026501970E+01,7.079408802475707E-01,3.092494112250395E-03,-3.946158729241933E-04,-6.287513948133685E-05
2444606.500000000,-3.806282668941729E+00,-3.002902018961022E+01,7.060401773320690E-01,3.094368827004008E-03,-3.848269097141369E-04,-6.310291003992371E-05
2444636.500000000,-3.713427236827768E+00,-3.004043125221149E+01,7.041324059030385E-01,3.096208118553829E-03,-3.751581155423570E-04,-6.348735553356587E-05
2444666.500000000,-3.620526332239411E+00,-3.005155292605890E+01,7.022175325430370E-01,3.097893911768932E-03,-3.656412113225599E-04,-6.396562929769802E-05
2444696.500000000,-3.527581285210974E+00,-3.006238471063885E+01,7.002955772455367E-01,3.099337373796946E-03,-3.562125662434371E-04,-6.443279883465206E-05
2444726.500000000,-3.434593665981095E+00,-3.007292655946520E+01,6.983666316205502E-01,3.100549791930336E-03,-3.467993382111604E-04,-6.479373184169657E-05
2444756.500000000,-3.341564176395663E+00,-3.008317879632579E+01,6.964307290831289E-01,3.101649890496529E-03,-3.372902082770833E-04,-6.499631883925757E-05
2444786.500000000,-3.248492907065966E+00,-3.009314057783778E+01,6.944879263138414E-01,3.102744728686570E-03,-3.275767393368744E-04,-6.504737244895161E-05
2444816.500000000,-3.155380696101751E+00,-3.010281060875110E+01,6.925383121013523E-01,3.103936953216038E-03,-3.176656256342330E-04,-6.502345298693541E-05
2444846.500000000,-3.062228672470622E+00,-3.011218789528230E+01,6.905818960147722E-01,3.105292785315041E-03,-3.076355208500184E-04,-6.503391067809732E-05
2444876.500000000,-2.969038423809536E+00,-3.012127133953577E+01,6.886186996226163E-01,3.106751603079147E-03,-2.976033771395995E-04,-6.516531600083299E-05
2444906.500000000,-2.875812171611799E+00,-3.013006096918517E+01,6.866487336468214E-01,3.108224818273806E-03,-2.877099916420113E-04,-6.545836225311732E-05
2444936.500000000,-2.782551236174442E+00,-3.013855790604068E+01,6.846719055118330E-01,3.109638829358250E-03,-2.780126539751660E-04,-6.588992758220109E-05
2444966.500000000,-2.689256066785566E+00,-3.014676271769281E+01,6.826881643035629E-01,3.110885244264905E-03,-2.684755788634020E-04,-6.637293366989366E-05
2444996.500000000,-2.595926895363331E+00,-3.015467563397164E+01,6.806975077180869E-01,3.111928554633773E-03,-2.590042550343715E-04,-6.679967830433746E-05
2445026.500000000,-2.502563384008632E+00,-3.016229613790097E+01,6.786999270065091E-01,3.112824306447388E-03,-2.494391750341611E-04,-6.708680363443229E-05
2445056.500000000,-2.409165881133059E+00,-3.016962221467255E+01,6.766955452404269E-01,3.113626832042827E-03,-2.396699708446908E-04,-6.720721498043017E-05
2445086.500000000,-2.315736107138902E+00,-3.017665210842382E+01,6.746845360060125E-01,3.114433355948243E-03,-2.296972331388720E-04,-6.720529215478182E-05
2445116.500000000,-2.222275908007282E+00,-3.018338495300164E+01,6.726669806120231E-01,3.115350074396787E-03,-2.195656289987996E-04,-6.717392892333269E-05
2445146.500000000,-2.128787323781701E+00,-3.018982018910406E+01,6.706429464284182E-01,3.116393219667126E-03,-2.093899189710694E-04,-6.721847706331095E-05
2445176.500000000,-2.035272267365668E+00,-3.019595837950184E+01,6.686124047886706E-01,3.117535017469690E-03,-1.993179606740936E-04,-6.741768843732084E-05
2445206.500000000,-1.941731383202853E+00,-3.020180039665249E+01,6.665751932459693E-01,3.118695459579058E-03,-1.894040938245005E-04,-6.777993306480279E-05
2445236.500000000,-1.848165122862756E+00,-3.020734606601449E+01,6.645312193737513E-01,3.119729565453074E-03,-1.796400373239281E-04,-6.824245766664676E-05
2445266.500000000,-1.754574393250830E+00,-3.021259499962735E+01,6.624804570488159E-01,3.120549997578932E-03,-1.699759608068563E-04,-6.870717071561609E-05
2445296.500000000,-1.660960083060434E+00,-3.021754654860917E+01,6.604229311612982E-01,3.121142083811805E-03,-1.602935404399385E-04,-6.907134135617307E-05
2445326.500000000,-1.567323916249152E+00,-3.022219971309513E+01,6.583588291572113E-01,3.121540319410135E-03,-1.505046465706971E-04,-6.927013924779153E-05
2445356.500000000,-1.473667912859862E+00,-3.022655448484252E+01,6.562883408349960E-01,3.121886232558485E-03,-1.405737725048101E-04,-6.931307992900004E-05
2445386.500000000,-1.379993043069022E+00,-3.023061126966679E+01,6.542115453534439E-01,3.122338122071698E-03,-1.304836625913332E-04,-6.927432768053260E-05
2445416.500000000,-1.286300015673557E+00,-3.023437001671054E+01,6.521284972536738E-01,3.122962477968074E-03,-1.203025579059869E-04,-6.926002342890752E-05
2445446.500000000,-1.192589262703368E+00,-3.023783073913426E+01,6.500391295301402E-01,3.123762691877778E-03,-1.101283037744267E-04,-6.936651569552536E-05
2445476.500000000,-1.098860742959032E+00,-3.024099267001073E+01,6.479432855707392E-01,3.124646778744082E-03,-1.000078920611833E-04,-6.963730686153553E-05
2445506.500000000,-1.005115655346670E+00,-3.024385420697666E+01,6.458409176655142E-01,3.125438130019215E-03,-9.000540506419397E-05,-7.004910527307492E-05
2445536.500000000,-9.113562838009804E-01,-3.024641449011835E+01,6.437320256950870E-01,3.126003559340269E-03,-8.014517891349108E-05,-7.051956764086669E-05
2445566.500000000,-8.175848803975257E-01,-3.024867323497415E+01,6.416166513047957E-01,3.126285599899484E-03,-7.034725378406731E-05,-7.093659221409364E-05
2445596.500000000,-7.238040586799513E-01,-3.025063069891539E+01,6.394949573860332E-01,3.126319496210403E-03,-6.054123916700666E-05,-7.121522333431011E-05
