# NASA/JPL Horizons target 999 (pluto), center 500@10, ECLIPTIC/ICRF, AU and AU/day
# State vectors 1977-08-21..2030-01-02 every 30d; retrieved 2026-09-24 by scripts/fetch_horizons.ps1
julian_date,x_au,y_au,z_au,vx_au_d,vy_au_d,vz_au_d
2443376.500000000,-2.824350708290263E+01,-7.084082222229663E+00,8.927283771382664E+00,1.187261806712283E-03,-3.249774378759620E-03,-1.004991294062002E-05
2443406.500000000,-2.820787394992303E+01,-7.181425035616383E+00,8.927340130962577E+00,1.200836843558212E-03,-3.232590213409673E-03,3.404816836663501E-06
2443436.500000000,-2.817195814816074E+01,-7.278713837865552E+00,8.927278490418251E+00,1.192946487695837E-03,-3.244389096388195E-03,7.871446109545842E-06
2443466.500000000,-2.813576028566760E+01,-7.375916260942422E+00,8.927152004242092E+00,1.208097848840255E-03,-3.248770203975685E-03,-1.598344531984323E-05
2443496.500000000,-2.809932200415985E+01,-7.473075582502185E+00,8.926961721431578E+00,1.229693309010447E-03,-3.228920464201501E-03,-1.229995406456882E-05
2443526.500000000,-2.806261346087097E+01,-7.570191974327805E+00,8.926653556381488E+00,1.224073632447842E-03,-3.232220784316725E-03,1.655759000400174E-06
2443556.500000000,-2.802561196592470E+01,-7.667218052450886E+00,8.926261750487228E+00,1.229840076811517E-03,-3.244469838472014E-03,-1.866629619873646E-05
2443586.500000000,-2.798836229190017E+01,-7.764181800285225E+00,8.925817816630689E+00,1.255363649633539E-03,-3.227625204041681E-03,-2.679973572542117E-05
2443616.500000000,-2.795085723889279E+01,-7.861110142748289E+00,8.925266662518348E+00,1.256592657314302E-03,-3.220825707702652E-03,-8.655204665738239E-06
2443646.500000000,-2.791305541049402E+01,-7.957955309588847E+00,8.924612609037984E+00,1.254034724964523E-03,-3.236465622908366E-03,-1.992533872224159E-05
2443676.500000000,-2.787498903606253E+01,-8.054718951368894E+00,8.923907581113616E+00,1.278336164219221E-03,-3.227239461692911E-03,-3.820992004696370E-05
2443706.500000000,-2.783667623251412E+01,-8.151443580062949E+00,8.923112881559026E+00,1.288879508996926E-03,-3.211707259371673E-03,-2.249960801110920E-05
2443736.500000000,-2.779807218902932E+01,-8.248094497064432E+00,8.922201700540064E+00,1.281567249018626E-03,-3.225001172372289E-03,-2.204904033728500E-05
2443766.500000000,-2.775918904750244E+01,-8.344647288733803E+00,8.921230138993431E+00,1.299670616531095E-03,-3.225576004226056E-03,-4.560436172874751E-05
2443796.500000000,-2.772006533752547E+01,-8.441149331636337E+00,8.920188123376912E+00,1.318911777281751E-03,-3.205579018639155E-03,-3.817306981778024E-05
2443826.500000000,-2.768066520701123E+01,-8.537592363865183E+00,8.919026047656496E+00,1.311962415410841E-03,-3.211749714749118E-03,-2.704055789383443E-05
2443856.500000000,-2.764097349900022E+01,-8.633934094023047E+00,8.917786267482049E+00,1.321079171259418E-03,-3.221340645077557E-03,-4.933531116893302E-05
2443886.500000000,-2.760103375609539E+01,-8.730209604865221E+00,8.916490337597223E+00,1.345954449302984E-03,-3.202465653726305E-03,-5.343262232090876E-05
2443916.500000000,-2.756082943179300E+01,-8.826435527314400E+00,8.915081485475993E+00,1.344550240232629E-03,-3.198699646885011E-03,-3.603981826267206E-05
2443946.500000000,-2.752032490428251E+01,-8.922561400270556E+00,8.913575068972037E+00,1.344682397705360E-03,-3.213325781647386E-03,-5.093416897191767E-05
2443976.500000000,-2.747955862359893E+01,-9.018597737262917E+00,8.912017615533298E+00,1.370100449618634E-03,-3.200580360853092E-03,-6.616236624024704E-05
2444006.500000000,-2.743854174522225E+01,-9.114582378078238E+00,8.910363195224404E+00,1.377364052835653E-03,-3.187214476169250E-03,-4.889384008527559E-05
2444036.500000000,-2.739723023327685E+01,-9.210475904069671E+00,8.908595280419579E+00,1.371176291407776E-03,-3.201516667324437E-03,-5.258253754187498E-05
2444066.500000000,-2.735564317605169E+01,-9.306263534046765E+00,8.906770495819639E+00,1.391928356704796E-03,-3.198229398989373E-03,-7.504414734062666E-05
2444096.500000000,-2.731381257761563E+01,-9.401992390779181E+00,8.904868054692505E+00,1.408482552039561E-03,-3.178744169171674E-03,-6.425830509845108E-05
2444126.500000000,-2.727169749689333E+01,-9.497644210275856E+00,8.902844657748405E+00,1.400894979735896E-03,-3.187364616690031E-03,-5.648911694868591E-05
2444156.500000000,-2.722929139826731E+01,-9.593180296887333E+00,8.900749180813921E+00,1.413360011434254E-03,-3.193629120915311E-03,-8.000537814248349E-05
2444186.500000000,-2.718663909681078E+01,-9.688639849723209E+00,8.898592715860630E+00,1.436817881616164E-03,-3.173186521740958E-03,-8.000569799426891E-05
2444216.500000000,-2.714371831822126E+01,-9.784031656862243E+00,8.896319009718843E+00,1.432995060610552E-03,-3.172462337281128E-03,-6.413283417039643E-05
2444246.500000000,-2.710049999398091E+01,-9.879307267621760E+00,8.893953771965103E+00,1.436008374987864E-03,-3.185432599551217E-03,-8.218038226735957E-05
2444276.500000000,-2.705702644685732E+01,-9.974487387743837E+00,8.891536356448430E+00,1.461809494153199E-03,-3.169651661262245E-03,-9.387285413554087E-05
2444306.500000000,-2.701329853257994E+01,-1.006960524006431E+01,8.889015101800521E+00,1.465889977996249E-03,-3.158951273019588E-03,-7.582277289941630E-05
2444336.500000000,-2.696927155346550E+01,-1.016461570644726E+01,8.886384274908194E+00,1.461478831102972E-03,-3.173561594045039E-03,-8.361976238347875E-05
2444366.500000000,-2.692497195012828E+01,-1.025951093565749E+01,8.883699058695312E+00,1.484417654144938E-03,-3.166336858661933E-03,-1.042315585594890E-04
2444396.500000000,-2.688042582892401E+01,-1.035433551620732E+01,8.880928796293700E+00,1.497941006310678E-03,-3.147903442859826E-03,-9.060965815077663E-05
2444426.500000000,-2.683559029652437E+01,-1.044906162556737E+01,8.878038283416780E+00,1.490221577588318E-03,-3.158437793103929E-03,-8.659893466059057E-05
2444456.500000000,-2.679047001777985E+01,-1.054365751056309E+01,8.875081222411112E+00,1.505734757530445E-03,-3.161054245013493E-03,-1.105315421872867E-04
2444486.500000000,-2.674510796025992E+01,-1.063816839626985E+01,8.872057592497276E+00,1.527165888351034E-03,-3.139810651281590E-03,-1.065421732660160E-04
2444516.500000000,-2.669947371147822E+01,-1.073259455485301E+01,8.868913646175622E+00,1.521431662763545E-03,-3.142071214426373E-03,-9.290627540627037E-05
2444546.500000000,-2.665354508543463E+01,-1.082688965841534E+01,8.865684464510194E+00,1.527584098125982E-03,-3.152766007106626E-03,-1.135250742153797E-04
2444576.500000000,-2.660736595433674E+01,-1.092108225134632E+01,8.862400573982208E+00,1.553168004531357E-03,-3.134348300839135E-03,-1.213470589298193E-04
2444606.500000000,-2.656092806633544E+01,-1.101519656989738E+01,8.859006696209159E+00,1.554184253331902E-03,-3.126429466732993E-03,-1.033100140957809E-04
2444636.500000000,-2.651419207584867E+01,-1.110918350144693E+01,8.855508399841248E+00,1.551873045118181E-03,-3.140580017610977E-03,-1.150145772920835E-04
2444666.500000000,-2.646719230241158E+01,-1.120304576979180E+01,8.851957270464551E+00,1.576281297166021E-03,-3.129590981199414E-03,-1.330877371655501E-04
2444696.500000000,-2.641994721033094E+01,-1.129682586437738E+01,8.848313961001919E+00,1.586438538852504E-03,-3.112868330790745E-03,-1.172509524285217E-04
2444726.500000000,-2.637241242462894E+01,-1.139048978240776E+01,8.844552666875746E+00,1.579154890532862E-03,-3.124947684596279E-03,-1.172598685277670E-04
2444756.500000000,-2.632459966927967E+01,-1.148401466919612E+01,8.840729547561288E+00,1.597536108754874E-03,-3.123797023284951E-03,-1.408053835685844E-04
2444786.500000000,-2.627654588366621E+01,-1.157744654137628E+01,8.836833455359734E+00,1.616535999641149E-03,-3.102408612274473E-03,-1.330880789004210E-04
2444816.500000000,-2.622821502734492E+01,-1.167077440405614E+01,8.832815353952153E+00,1.609473707164237E-03,-3.107363752480701E-03,-1.223208955447232E-04
2444846.500000000,-2.617959401199396E+01,-1.176395461695975E+01,8.828718360757367E+00,1.618840985686296E-03,-3.115122773353509E-03,-1.448247153063179E-04
2444876.500000000,-2.613072924243363E+01,-1.185702153261458E+01,8.824563231029984E+00,1.643412882729526E-03,-3.094540026396642E-03,-1.485714497526234E-04
2444906.500000000,-2.608160645553281E+01,-1.194999226413644E+01,8.820293288555542E+00,1.641491774530308E-03,-3.089614430369203E-03,-1.313397540050970E-04
2444936.500000000,-2.603219155204774E+01,-1.204281881096017E+01,8.815924945001615E+00,1.641634148350184E-03,-3.102717601302069E-03,-1.466102407461716E-04
2444966.500000000,-2.598252312284208E+01,-1.213551424933183E+01,8.811504139709207E+00,1.666879033832747E-03,-3.088317512813976E-03,-1.615586058499264E-04
2444996.500000000,-2.593261010401475E+01,-1.222811711152425E+01,8.806984262288411E+00,1.673645187772687E-03,-3.073867952589030E-03,-1.442278269611140E-04
2445026.500000000,-2.588240649941726E+01,-1.232058673040165E+01,8.802349751749629E+00,1.667473532507410E-03,-3.086838710087591E-03,-1.483691007996746E-04
2445056.500000000,-2.583193206005814E+01,-1.241290667517617E+01,8.797657303644714E+00,1.688291764073915E-03,-3.081708787050463E-03,-1.707255071689392E-04
2445086.500000000,-2.578121975683309E+01,-1.250512251007916E+01,8.792885262961363E+00,1.704333102893454E-03,-3.060815893537162E-03,-1.596772854044325E-04
2445116.500000000,-2.573023004991126E+01,-1.259721458639830E+01,8.787991156719801E+00,1.696420519053731E-03,-3.068149301178926E-03,-1.522930787544977E-04
2445146.500000000,-2.567895950826091E+01,-1.268914512491090E+01,8.783024576489147E+00,1.708845447093904E-03,-3.072619322973114E-03,-1.759163607022840E-04
2445176.500000000,-2.562745379304106E+01,-1.278095556616839E+01,8.777995559056921E+00,1.731780966669007E-03,-3.050670044471241E-03,-1.755534525008406E-04
2445206.500000000,-2.557568912123176E+01,-1.287265476942972E+01,8.772847923133513E+00,1.727429568322418E-03,-3.048837105362815E-03,-1.599018968330353E-04
2445236.500000000,-2.552363685283543E+01,-1.296419386428416E+01,8.767608365791434E+00,1.730415444442949E-03,-3.060189091009601E-03,-1.782605100349109E-04
2445266.500000000,-2.547133987663396E+01,-1.305559372132255E+01,8.762315455197363E+00,1.755879295493193E-03,-3.042681965462406E-03,-1.896209671530943E-04
2445296.500000000,-2.541879900619193E+01,-1.314688580695624E+01,8.756917153659677E+00,1.759254980853186E-03,-3.030756162349744E-03,-1.715637623999895E-04
2445326.500000000,-2.536597232857484E+01,-1.323802428536307E+01,8.751409037872188E+00,1.754549683902630E-03,-3.043898261246148E-03,-1.797734403452414E-04
2445356.500000000,-2.531288888631451E+01,-1.332900401301891E+01,8.745846149730637E+00,1.777147409762891E-03,-3.034918253938579E-03,-2.001855351551201E-04
2445386.500000000,-2.525957408455697E+01,-1.341987132056945E+01,8.740196959905200E+00,1.789852879862450E-03,-3.015288960820089E-03,-1.863354292647652E-04
2445416.500000000,-2.520598430060116E+01,-1.351059897281207E+01,8.734427173238451E+00,1.781686499067127E-03,-3.024700243500189E-03,-1.827251405242570E-04
2445446.500000000,-2.515212342404690E+01,-1.360115658436497E+01,8.728590758546476E+00,1.797090532530068E-03,-3.025652346671930E-03,-2.066766091665003E-04
2445476.500000000,-2.509803238959242E+01,-1.369158809118880E+01,8.722686566149319E+00,1.817918732733698E-03,-3.002975327344014E-03,-2.023283429306006E-04
2445506.500000000,-2.504368093969174E+01,-1.378189043888097E+01,8.716661341756121E+00,1.811592747944378E-03,-3.004064427013296E-03,-1.889601400985061E-04
2445536.500000000,-2.498904969066616E+01,-1.387201633798481E+01,8.710551126949060E+00,1.817548071890178E-03,-3.013032536770389E-03,-2.098051278245878E-04
2445566.500000000,-2.493418509081344E+01,-1.396199467024440E+01,8.704385676679808E+00,1.842462645582341E-03,-2.992918217995354E-03,-2.172403761377908E-04
2445596.500000000,-2.487908088994769E+01,-1.405185035701915E+01,8.698109634367237E+00,1.842516722362894E-03,-2.983904060351795E-03,-1.992492737127789E-04
2445626.500000000,-2.482369900664979E+01,-1.414153687189592E+01,8.691729633119213E+00,1.839777654868601E-03,-2.996683245642168E-03,-2.113234762391321E-04
2445656.500000000,-2.476807331877501E+01,-1.423105943046478E+01,8.685296750475469E+00,1.863672047472130E-03,-2.984068648836291E-03,-2.291198160966101E-04
2445686.500000000,-2.471222064808618E+01,-1.432046070296340E+01,8.678770874900851E+00,1.872906248246021E-03,-2.966274910102183E-03,-2.131091422825503E-04
2445716.500000000,-2.465609559154109E+01,-1.440970570151118E+01,8.672127154118332E+00,1.865134677014792E-03,-2.977170656119268E-03,-2.135228151745169E-04
2445746.500000000,-2.459971077695920E+01,-1.449877074372136E+01,8.665422002659840E+00,1.883156825255381E-03,-2.974287116717429E-03,-2.369838664617689E-04
2445776.500000000,-2.454310466200505E+01,-1.458770143989679E+01,8.658643419177606E+00,1.901207880395170E-03,-2.951585485198555E-03,-2.289139397979929E-04
2445806.500000000,-2.448624219881458E+01,-1.467648697550618E+01,8.651743024694042E+00,1.893336610885790E-03,-2.955502051807503E-03,-2.184459876832830E-04
2445836.500000000,-2.442911165491714E+01,-1.476508521144305E+01,8.644764718686536E+00,1.902288480267853E-03,-2.961703671138557E-03,-2.410802240274234E-04
2445866.500000000,-2.437175948947826E+01,-1.485353252301800E+01,8.637728262805766E+00,1.926030948432979E-03,-2.939742180600386E-03,-2.444143480242917E-04
2445896.500000000,-2.431416941347431E+01,-1.494184581044710E+01,8.630576846954755E+00,1.923204964004106E-03,-2.933891579570543E-03,-2.272956883730013E-04
2445926.500000000,-2.425630716435614E+01,-1.502997553705393E+01,8.623327929816726E+00,1.922943470726802E-03,-2.945567912280544E-03,-2.428787925047782E-04
2445956.500000000,-2.419821306603147E+01,-1.511793433963330E+01,8.616026904360867E+00,1.947512812266830E-03,-2.929534469745302E-03,-2.574811818464450E-04
2445986.500000000,-2.413989718319270E+01,-1.520575987758768E+01,8.608626641800221E+00,1.953154922366203E-03,-2.914007963212392E-03,-2.400268903331018E-04
2446016.500000000,-2.408131616714969E+01,-1.529341141654380E+01,8.601112825545318E+00,1.946223734700256E-03,-2.925766795127559E-03,-2.445444897999602E-04
2446046.500000000,-2.402249260673766E+01,-1.538087612790739E+01,8.593542205933961E+00,1.966330899704752E-03,-2.919103397895608E-03,-2.667170837306477E-04
2446076.500000000,-2.396345839048365E+01,-1.546820271250511E+01,8.585892094889200E+00,1.981203445831630E-03,-2.897227990900785E-03,-2.553462290295120E-04
2446106.500000000,-2.390417192409751E+01,-1.555537201161855E+01,8.578120750144524E+00,1.972429906221356E-03,-2.903732148794600E-03,-2.482897514366227E-04
2446136.500000000,-2.384462893001394E+01,-1.564234724700873E+01,8.570278256812214E+00,1.984398341039839E-03,-2.906808902728800E-03,-2.719567077661409E-04
2446166.500000000,-2.378487334730283E+01,-1.572916918975269E+01,8.562373545384439E+00,2.006425343614151E-03,-2.883633149195448E-03,-2.711726965662159E-04
2446196.500000000,-2.372488129029887E+01,-1.581584348108570E+01,8.554350774916923E+00,2.001069568477171E-03,-2.880918615971274E-03,-2.556822313533194E-04
2446226.500000000,-2.366462708740674E+01,-1.590232088257560E+01,8.546237765748760E+00,2.003477298173136E-03,-2.890905009122511E-03,-2.742754686010258E-04
2446256.500000000,-2.360415568686819E+01,-1.598862405955050E+01,8.538072367607144E+00,2.028018227506426E-03,-2.871996526533269E-03,-2.852271596270290E-04
2446286.500000000,-2.354346846079563E+01,-1.607478518977683E+01,8.529802234597941E+00,2.030125480161641E-03,-2.859284918641760E-03,-2.671004450271512E-04
2446316.500000000,-2.348252401038657E+01,-1.616076041408292E+01,8.521424004594188E+00,2.024676023056334E-03,-2.871428317973904E-03,-2.756604014497099E-04
2446346.500000000,-2.342135066752886E+01,-1.624654682866265E+01,8.512992327870428E+00,2.046558525483154E-03,-2.861094149982777E-03,-2.958095424382117E-04
2446376.500000000,-2.335997247854652E+01,-1.633219006394414E+01,8.504474822293451E+00,2.058059424562208E-03,-2.840618357776953E-03,-2.816805980843570E-04
2446406.500000000,-2.329834593776890E+01,-1.641766189815512E+01,8.495838124163242E+00,2.049011869708909E-03,-2.849197531788219E-03,-2.784130930123644E-04
2446436.500000000,-2.323647645394706E+01,-1.650293260726987E+01,8.487136620333787E+00,2.063761818226217E-03,-2.848778415845008E-03,-3.023061829013702E-04
2446466.500000000,-2.317440633522897E+01,-1.658804697838742E+01,8.478368296077225E+00,2.083363278084501E-03,-2.825120760174552E-03,-2.975291829089859E-04
2446496.500000000,-2.311210555723099E+01,-1.667300345527611E+01,8.469480369850739E+00,2.075890022757931E-03,-2.825634965736794E-03,-2.843661137954493E-04
2446526.500000000,-2.304955432792123E+01,-1.675775721059808E+01,8.460509686214168E+00,2.081218026323671E-03,-2.833528926182557E-03,-3.053654129357671E-04
2446556.500000000,-2.298679783572782E+01,-1.684233862740311E+01,8.451485085611049E+00,2.105174827783922E-03,-2.812400330069876E-03,-3.123551489728642E-04
2446586.500000000,-2.292382731983279E+01,-1.692677190560746E+01,8.442350919517990E+00,2.104110163686651E-03,-2.802863506647246E-03,-2.943655376174216E-04
2446616.500000000,-2.286060394064533E+01,-1.701100873513675E+01,8.433114875066282E+00,2.100775015513375E-03,-2.814664566027642E-03,-3.067478576493582E-04
2446646.500000000,-2.279716357571187E+01,-1.709505340372385E+01,8.423827718413607E+00,2.123872015448184E-03,-2.800778834474009E-03,-3.241994423477694E-04
2446676.500000000,-2.273352460043478E+01,-1.717894837163080E+01,8.414448708526702E+00,2.131797562277657E-03,-2.782299703187527E-03,-3.079551838716517E-04
