# NASA/JPL Horizons target 699 (saturn), center 500@10, ECLIPTIC/ICRF, AU and AU/day
# State vectors 1977-08-21..2030-01-02 every 20d; retrieved 2026-09-24 by scripts/fetch_horizons.ps1
julian_date,x_au,y_au,z_au,vx_au_d,vy_au_d,vz_au_d
2443376.500000000,-7.132912665510455E+00,5.777347233579777E+00,1.824493418692264E-01,-3.818799904968287E-03,-4.350677027983262E-03,2.280042530213416E-04
2443396.500000000,-7.208748702584010E+00,5.689902168682049E+00,1.869907235911662E-01,-3.763935247551419E-03,-4.393800357287217E-03,2.260985035091183E-04
2443416.500000000,-7.283485172288581E+00,5.601585491800647E+00,1.915023905567288E-01,-3.709577328129362E-03,-4.437049151935241E-03,2.246984375983842E-04
2443436.500000000,-7.357112254509652E+00,5.512407371637894E+00,1.959861076669442E-01,-3.653824045328368E-03,-4.480584743735659E-03,2.237176159151705E-04
2443456.500000000,-7.429614545301237E+00,5.422382269696638E+00,2.004410950129352E-01,-3.596344551982962E-03,-4.522484071036584E-03,2.221315024107964E-04
2443476.500000000,-7.500982455332658E+00,5.331530517695214E+00,2.048640536115946E-01,-3.539583955577455E-03,-4.562594177562481E-03,2.200983199269012E-04
2443496.500000000,-7.571212286125308E+00,5.239867468250107E+00,2.092548542672472E-01,-3.483362670723386E-03,-4.602884716991777E-03,2.186189714947453E-04
2443516.500000000,-7.640295022095874E+00,5.147403634045633E+00,2.136153598502346E-01,-3.425598784318066E-03,-4.643386186676303E-03,2.175100901296764E-04
2443536.500000000,-7.708216387813607E+00,5.054154449970864E+00,2.179444671538429E-01,-3.366419406941712E-03,-4.682086998141152E-03,2.157435835298673E-04
2443556.500000000,-7.774968647094052E+00,4.960140238180824E+00,2.222390744257177E-01,-3.307960403516302E-03,-4.719173893770364E-03,2.136193192100691E-04
2443576.500000000,-7.840548860783739E+00,4.865376014091385E+00,2.264992603833291E-01,-3.250089704525820E-03,-4.756421726589236E-03,2.120427932263606E-04
2443596.500000000,-7.904948485929742E+00,4.769872265433587E+00,2.307269015730285E-01,-3.190581721092677E-03,-4.793901086783953E-03,2.108318004230897E-04
2443616.500000000,-7.968153656275965E+00,4.673644945506400E+00,2.349206054384868E-01,-3.129728890260838E-03,-4.829395016324473E-03,2.088792324895209E-04
2443636.500000000,-8.030157809787013E+00,4.576714826997593E+00,2.390773080102745E-01,-3.069851311100794E-03,-4.863371181865753E-03,2.066525021782285E-04
2443656.500000000,-8.090958456262046E+00,4.479096860007587E+00,2.431974256560832E-01,-3.010338800646033E-03,-4.897594252925641E-03,2.050127145939122E-04
2443676.500000000,-8.150547297169155E+00,4.380802486094879E+00,2.472827131952052E-01,-2.949247089369285E-03,-4.931868333697811E-03,2.036672098540522E-04
2443696.500000000,-8.208911750930596E+00,4.281848678857693E+00,2.513316019133929E-01,-2.886920219660004E-03,-4.964063120386601E-03,2.015507254847805E-04
2443716.500000000,-8.266046954460927E+00,4.182256717550027E+00,2.553411491688643E-01,-2.825783173299447E-03,-4.994796592597518E-03,1.992209263129867E-04
2443736.500000000,-8.321951809408175E+00,4.082041358952019E+00,2.593121008069713E-01,-2.764949944199755E-03,-5.025932273504666E-03,1.975517277144875E-04
2443756.500000000,-8.376618711610549E+00,3.981214095233899E+00,2.632461925971058E-01,-2.702406632621843E-03,-5.056904652027579E-03,1.960473607663350E-04
2443776.500000000,-8.430036718338584E+00,3.879792269406861E+00,2.671415733327532E-01,-2.639036502616615E-03,-5.085797133031453E-03,1.937929054801001E-04
