# NASA/JPL Horizons target 799 (uranus), center 500@10, ECLIPTIC/ICRF, AU and AU/day
# State vectors 1977-08-21..2030-01-02 every 30d; retrieved 2026-09-24 by scripts/fetch_horizons.ps1
julian_date,x_au,y_au,z_au,vx_au_d,vy_au_d,vz_au_d
2443376.500000000,-1.392407552183634E+01,-1.231270820957456E+01,1.349620259564468E-01,2.568851276718312E-03,-3.129348190333207E-03,-4.471342930905989E-05
2443406.500000000,-1.384672198067886E+01,-1.240633874151169E+01,1.336136534514456E-01,2.588048675518300E-03,-3.112656358191062E-03,-4.503096188968187E-05
2443436.500000000,-1.376879543941114E+01,-1.249946616453516E+01,1.322596000069298E-01,2.607046507868022E-03,-3.095801269044543E-03,-4.514554675354728E-05
2443466.500000000,-1.369029741409824E+01,-1.259208662938403E+01,1.309001059267520E-01,2.626096659790195E-03,-3.078862805612186E-03,-4.548102334112798E-05
2443496.500000000,-1.361123185010446E+01,-1.268419579200124E+01,1.295347407953718E-01,2.644792838879008E-03,-3.061709376883234E-03,-4.559849213074236E-05
2443526.500000000,-1.353160179297793E+01,-1.277578990468155E+01,1.281646239204743E-01,2.663758670514685E-03,-3.044521835359101E-03,-4.575946805699305E-05
2443556.500000000,-1.345141057265822E+01,-1.286686532333813E+01,1.267889478003695E-01,2.682304687382161E-03,-3.027164497788888E-03,-4.601192612357953E-05
2443586.500000000,-1.337066237672324E+01,-1.295741879116461E+01,1.254083540495847E-01,2.700950080156211E-03,-3.009746214802884E-03,-4.611172392767632E-05
2443616.500000000,-1.328935995652818E+01,-1.304744787392333E+01,1.240221514622534E-01,2.719273330004796E-03,-2.992200271579904E-03,-4.639151387772085E-05
2443646.500000000,-1.320750655768151E+01,-1.313694871649085E+01,1.226310455130688E-01,2.737644427149392E-03,-2.974509032965514E-03,-4.634589644597924E-05
2443676.500000000,-1.312510413463910E+01,-1.322591759997890E+01,1.212349844417714E-01,2.755905777117619E-03,-2.956733422923125E-03,-4.664044420481413E-05
2443706.500000000,-1.304215655646944E+01,-1.331435032851190E+01,1.198336340654392E-01,2.773952680401550E-03,-2.938750458062455E-03,-4.668794702448137E-05
2443736.500000000,-1.295866729065002E+01,-1.340224241542042E+01,1.184273173708744E-01,2.791977277596511E-03,-2.920693969406431E-03,-4.699342650711799E-05
2443766.500000000,-1.287464208746964E+01,-1.348959026546017E+01,1.170157300282157E-01,2.809593116084796E-03,-2.902465353316597E-03,-4.709635454464525E-05
2443796.500000000,-1.279008473207364E+01,-1.357639152689792E+01,1.155999178432120E-01,2.827429020113266E-03,-2.884242696766879E-03,-4.726616437047478E-05
2443826.500000000,-1.270499878564901E+01,-1.366264395400001E+01,1.141790043162090E-01,2.844878726752690E-03,-2.865894960613662E-03,-4.748728395297565E-05
2443856.500000000,-1.261938766543885E+01,-1.374834527869334E+01,1.127535985916769E-01,2.862509119504123E-03,-2.847520645898019E-03,-4.760182077185234E-05
2443886.500000000,-1.253325318734133E+01,-1.383349292460734E+01,1.113229753301980E-01,2.879814824780875E-03,-2.828990438073109E-03,-4.789779407995680E-05
2443916.500000000,-1.244659841861105E+01,-1.391808233502807E+01,1.098879389332388E-01,2.897168058036703E-03,-2.810293370464189E-03,-4.785130241281088E-05
2443946.500000000,-1.235942587637693E+01,-1.400210935427096E+01,1.084483713259797E-01,2.914381350405867E-03,-2.791499345577395E-03,-4.810501846091518E-05
2443976.500000000,-1.227174024269010E+01,-1.408556974783584E+01,1.070040433143340E-01,2.931389939821509E-03,-2.772514117929862E-03,-4.810986514837702E-05
2444006.500000000,-1.218354569845603E+01,-1.416845968280243E+01,1.055552875169084E-01,2.948314841981462E-03,-2.753478586692494E-03,-4.840594003655098E-05
2444036.500000000,-1.209484790604401E+01,-1.425077637383888E+01,1.041018545646932E-01,2.964827620004150E-03,-2.734281698742750E-03,-4.846500465728299E-05
2444066.500000000,-1.200564991399687E+01,-1.433251758336267E+01,1.026446768048320E-01,2.981578806864815E-03,-2.715081094864440E-03,-4.859846439085463E-05
2444096.500000000,-1.191595511604823E+01,-1.441368053984353E+01,1.011827902749781E-01,2.997971410219434E-03,-2.695737401572739E-03,-4.879288631167963E-05
2444126.500000000,-1.182576722446563E+01,-1.449426210159832E+01,9.971680214524123E-02,3.014513744735783E-03,-2.676343213917890E-03,-4.894668047931129E-05
2444156.500000000,-1.173508935527950E+01,-1.457425883538211E+01,9.824606532452224E-02,3.030631633834720E-03,-2.656765884679927E-03,-4.924395133030475E-05
2444186.500000000,-1.164392639450757E+01,-1.465366657878624E+01,9.677154327293820E-02,3.046796450932571E-03,-2.637066794153730E-03,-4.917170135506094E-05
2444216.500000000,-1.155228210997294E+01,-1.473248276593688E+01,9.529301751593865E-02,3.062823513014975E-03,-2.617338826617349E-03,-4.940816362217701E-05
2444246.500000000,-1.146016135760778E+01,-1.481070487734208E+01,9.381028830366819E-02,3.078663257726824E-03,-2.597480591124003E-03,-4.942063434101235E-05
2444276.500000000,-1.136756754571445E+01,-1.488833056166069E+01,9.232363544263567E-02,3.094390236488193E-03,-2.577589585939955E-03,-4.971085399379447E-05
2444306.500000000,-1.127450479686837E+01,-1.496535749171900E+01,9.083285260600558E-02,3.109783659818187E-03,-2.557523120498698E-03,-4.968829904281691E-05
2444336.500000000,-1.118097486252659E+01,-1.504178250929023E+01,8.933876630303024E-02,3.125462435119377E-03,-2.537420917099435E-03,-4.977870793705726E-05
2444366.500000000,-1.108698129631168E+01,-1.511760150087794E+01,8.784036928337230E-02,3.140741946528815E-03,-2.517133669191123E-03,-4.996599817559651E-05
2444396.500000000,-1.099252880522614E+01,-1.519281036321762E+01,8.633835451865365E-02,3.156074886807156E-03,-2.496766374931209E-03,-5.014163492778464E-05
2444426.500000000,-1.089762208337810E+01,-1.526740538736850E+01,8.483222306378113E-02,3.170917460564212E-03,-2.476215882855601E-03,-5.038687805130904E-05
2444456.500000000,-1.080226718752684E+01,-1.534138330923964E+01,8.332302368954310E-02,3.185872613950628E-03,-2.455606650218942E-03,-5.028192589312115E-05
2444486.500000000,-1.070646829601090E+01,-1.541474279348308E+01,8.181031983728405E-02,3.200686658831986E-03,-2.435009415987632E-03,-5.054977243531770E-05
2444516.500000000,-1.061023024201161E+01,-1.548748199155270E+01,8.029390961304977E-02,3.215287557473356E-03,-2.414295103363415E-03,-5.060158603258691E-05
2444546.500000000,-1.051355621099705E+01,-1.555959892038738E+01,7.877405642472245E-02,3.229745487544886E-03,-2.393533314083313E-03,-5.086209988454346E-05
2444576.500000000,-1.041645013367179E+01,-1.563109113252411E+01,7.725064619524286E-02,3.243954926395527E-03,-2.372594208930779E-03,-5.075023547660311E-05
2444606.500000000,-1.031891427833579E+01,-1.570195519966253E+01,7.572442474108933E-02,3.258424510671670E-03,-2.351636195561551E-03,-5.083322819899578E-05
2444636.500000000,-1.022095334689907E+01,-1.577218752155414E+01,7.419438882077885E-02,3.272391655564473E-03,-2.330509280081160E-03,-5.102340553894726E-05
2444666.500000000,-1.012257249031600E+01,-1.584178511466487E+01,7.266134833101469E-02,3.286358469447069E-03,-2.309322790850207E-03,-5.116848049883576E-05
2444696.500000000,-1.002377625203798E+01,-1.591074531710740E+01,7.112490683100978E-02,3.299892501090245E-03,-2.287989600310777E-03,-5.131475474733600E-05
2444726.500000000,-9.924569705264998E+00,-1.597906573733662E+01,6.958605245280125E-02,3.313655989667053E-03,-2.266643300017631E-03,-5.120236990098697E-05
2444756.500000000,-9.824955921294778E+00,-1.604674493018582E+01,6.804407588666012E-02,3.327240965609281E-03,-2.245275135786497E-03,-5.153420635724335E-05
2444786.500000000,-9.724939429623300E+00,-1.611377984549151E+01,6.649886501447125E-02,3.340573561216384E-03,-2.223734492372120E-03,-5.160473328670417E-05
2444816.500000000,-9.624524024358953E+00,-1.618016731416002E+01,6.495077442972860E-02,3.353756708522004E-03,-2.202110162293620E-03,-5.180622479486064E-05
2444846.500000000,-9.523714987830587E+00,-1.624590427185060E+01,6.339980347939823E-02,3.366743406181371E-03,-2.180324885387015E-03,-5.164227377719968E-05
2444876.500000000,-9.422516521488630E+00,-1.631098778687825E+01,6.184658051636775E-02,3.379884141215124E-03,-2.158567093499876E-03,-5.177042703990408E-05
2444906.500000000,-9.320934818315717E+00,-1.637541594527870E+01,6.029010569556119E-02,3.392408419806744E-03,-2.136680726042002E-03,-5.195095590544938E-05
2444936.500000000,-9.218974951100178E+00,-1.643918765809525E+01,5.873128657449173E-02,3.404955438019035E-03,-2.114776703779728E-03,-5.201144859362075E-05
2444966.500000000,-9.116640614246025E+00,-1.650230158108775E+01,5.716973763610290E-02,3.417181562857296E-03,-2.092774989278030E-03,-5.205839930359822E-05
2444996.500000000,-9.013935480982351E+00,-1.656475586645645E+01,5.560629791768171E-02,3.429691189862163E-03,-2.070779703708390E-03,-5.197610441638731E-05
2445026.500000000,-8.910861801760566E+00,-1.662654843075142E+01,5.404007752207511E-02,3.441912380948637E-03,-2.048699916997463E-03,-5.235349540850393E-05
2445056.500000000,-8.807424487164347E+00,-1.668767523248071E+01,5.247121764075366E-02,3.453866290362745E-03,-2.026417946450948E-03,-5.238188553158618E-05
2445086.500000000,-8.703628133742832E+00,-1.674813290739499E+01,5.090019891641712E-02,3.465722403072594E-03,-2.004074955560054E-03,-5.251775541893209E-05
2445116.500000000,-8.599478671015600E+00,-1.680791881986606E+01,4.932703998572140E-02,3.477432981669379E-03,-1.981615512751606E-03,-5.236397576693265E-05
2445146.500000000,-8.494980841551918E+00,-1.686703088884786E+01,4.775217454528058E-02,3.489196409482058E-03,-1.959204768145012E-03,-5.256883719638306E-05
2445176.500000000,-8.390140837431501E+00,-1.692546796788641E+01,4.617462328993697E-02,3.500314148910528E-03,-1.936656836402906E-03,-5.270477237001543E-05
2445206.500000000,-8.284963049986267E+00,-1.698322900244901E+01,4.459538104840728E-02,3.511541642047080E-03,-1.914085867228063E-03,-5.266772883879935E-05
2445236.500000000,-8.179451178031714E+00,-1.704031218999716E+01,4.301401356643696E-02,3.522487038107856E-03,-1.891418339518781E-03,-5.266030688119296E-05
2445266.500000000,-8.073609583126638E+00,-1.709671533247226E+01,4.143123777363122E-02,3.533619535963793E-03,-1.868752639522088E-03,-5.262538901648358E-05
2445296.500000000,-7.967442002104212E+00,-1.715243640457780E+01,3.984614589662210E-02,3.544291948128043E-03,-1.845984885829387E-03,-5.298467434211471E-05
2445326.500000000,-7.860954755663777E+00,-1.720747257274268E+01,3.825919360729722E-02,3.554739297497329E-03,-1.823080057363059E-03,-5.291523737777221E-05
2445356.500000000,-7.754152592677334E+00,-1.726182249848626E+01,3.667086108912950E-02,3.565175300759589E-03,-1.800204713187485E-03,-5.301205305615560E-05
2445386.500000000,-7.647040528271576E+00,-1.731548510628143E+01,3.508105576547828E-02,3.575500696372878E-03,-1.777263552929375E-03,-5.291566958060630E-05
2445416.500000000,-7.539622106269276E+00,-1.736845911311021E+01,3.349000966895715E-02,3.585822490030331E-03,-1.754358114242488E-03,-5.317949427154198E-05
2445446.500000000,-7.431902267741646E+00,-1.742074306285750E+01,3.189684246770898E-02,3.595576881821229E-03,-1.731276635100086E-03,-5.323966367056430E-05
2445476.500000000,-7.323884615812236E+00,-1.747233457941105E+01,3.030265102769174E-02,3.605537864353554E-03,-1.708147278500560E-03,-5.314291969605421E-05
2445506.500000000,-7.215573626866357E+00,-1.752323073493350E+01,2.870694620470924E-02,3.615169868432975E-03,-1.684904047382141E-03,-5.313792715191599E-05
2445536.500000000,-7.106975137996154E+00,-1.757342912426402E+01,2.711038584057991E-02,3.624846251943320E-03,-1.661655140124210E-03,-5.313567637498869E-05
2445566.500000000,-6.998094502383453E+00,-1.762292827414016E+01,2.551212585483741E-02,3.633959254338410E-03,-1.638311127145838E-03,-5.340963759553850E-05
2445596.500000000,-6.888938867927783E+00,-1.767172681927916E+01,2.391284493198805E-02,3.642944581920942E-03,-1.614906221319005E-03,-5.323480281802976E-05
2445626.500000000,-6.779512692254796E+00,-1.771982502410438E+01,2.231285580803120E-02,3.651946222165525E-03,-1.591588353608096E-03,-5.333225667519783E-05
2445656.500000000,-6.669820341813551E+00,-1.776722257846458E+01,2.071192765110673E-02,3.660797141323965E-03,-1.568214606366567E-03,-5.328958223426954E-05
2445686.500000000,-6.559864941350065E+00,-1.781391844764326E+01,1.911019999197575E-02,3.669592551678463E-03,-1.544854908502008E-03,-5.355660081638719E-05
2445716.500000000,-6.449651308412834E+00,-1.785991100246993E+01,1.750699832109271E-02,3.677917549091282E-03,-1.521320108960806E-03,-5.353504437995682E-05
2445746.500000000,-6.339183337776120E+00,-1.790519773797038E+01,1.590351731865307E-02,3.686492899075832E-03,-1.497773501100226E-03,-5.343932745918340E-05
2445776.500000000,-6.228466259263552E+00,-1.794977645497515E+01,1.429918971294935E-02,3.694667634262281E-03,-1.474140797453026E-03,-5.347098006242452E-05
2445806.500000000,-6.117506016183537E+00,-1.799364590554818E+01,1.269462694673897E-02,3.702837705123082E-03,-1.450517797020824E-03,-5.346555487965416E-05
2445836.500000000,-6.006307593367224E+00,-1.803680536578544E+01,1.108903662395600E-02,3.710482478602979E-03,-1.426811563991712E-03,-5.363148783269647E-05
2445866.500000000,-5.894877167383320E+00,-1.807925389358052E+01,9.483192910020284E-03,3.718120019661238E-03,-1.403070425327229E-03,-5.339098393380827E-05
2445896.500000000,-5.783218269312886E+00,-1.812099136263824E+01,7.877175840542441E-03,3.725728172048019E-03,-1.379381122836650E-03,-5.350830437719634E-05
2445926.500000000,-5.671335539450303E+00,-1.816201627640017E+01,6.270725927355707E-03,3.733092250961080E-03,-1.355586417475390E-03,-5.346812525661455E-05
2445956.500000000,-5.559233493243159E+00,-1.820232699257939E+01,4.664032137729538E-03,3.740336569023502E-03,-1.331793306032620E-03,-5.368322868660257E-05
2445986.500000000,-5.446918596295894E+00,-1.824192233242335E+01,3.056644471136188E-03,3.747157456881979E-03,-1.307876242990084E-03,-5.360022289980795E-05
2446016.500000000,-5.334395985014145E+00,-1.828080130767525E+01,1.449763924211437E-03,3.754200203089992E-03,-1.284033211400789E-03,-5.354981799382001E-05
2446046.500000000,-5.221671268422276E+00,-1.831896400212789E+01,-1.573076254386449E-04,3.760792723967838E-03,-1.260163837145319E-03,-5.360928872252678E-05
2446076.500000000,-5.108749332413512E+00,-1.835641103113370E+01,-1.764009257073474E-03,3.767440875983539E-03,-1.236338657379663E-03,-5.357671873290538E-05
2446106.500000000,-4.995633720148684E+00,-1.839314233183003E+01,-3.371109549105943E-03,3.773662762174108E-03,-1.212443072331206E-03,-5.366702128102555E-05
2446136.500000000,-4.882329127654075E+00,-1.842915675163877E+01,-4.977788744037851E-03,3.779952006451184E-03,-1.188508070844790E-03,-5.341244599444185E-05
2446166.500000000,-4.768838488391711E+00,-1.846445322872001E+01,-6.584132541363510E-03,3.786116046149759E-03,-1.164567024006415E-03,-5.353541312686311E-05
2446196.500000000,-4.655167261101402E+00,-1.849902943483855E+01,-8.190295698818692E-03,3.791982001177412E-03,-1.140501563418877E-03,-5.343835811244870E-05
2446226.500000000,-4.541321034283793E+00,-1.853288401576871E+01,-9.796020566760100E-03,3.797717779546664E-03,-1.116465949780197E-03,-5.358557898405790E-05
2446256.500000000,-4.427306745604819E+00,-1.856601667830823E+01,-1.140163476703906E-02,3.803067608517613E-03,-1.092349727042947E-03,-5.346974104270140E-05
2446286.500000000,-4.313129513458279E+00,-1.859842746059977E+01,-1.300603928027624E-02,3.808601580392596E-03,-1.068343945943779E-03,-5.346236559365084E-05
2446316.500000000,-4.198794578529395E+00,-1.863011726865944E+01,-1.461006885108101E-02,3.813682059428250E-03,-1.044317503229397E-03,-5.351293150024725E-05
2446346.500000000,-4.084306155096250E+00,-1.866108679308760E+01,-1.621318118188176E-02,3.818883703827128E-03,-1.020332240739669E-03,-5.345936838877691E-05
2446376.500000000,-3.969667968516552E+00,-1.869133564445219E+01,-1.781609629475853E-02,3.823673060006496E-03,-9.962789386028365E-04,-5.352714482493779E-05
2446406.500000000,-3.854885270543170E+00,-1.872086283745653E+01,-1.941790867348785E-02,3.828506962255948E-03,-9.722093795662613E-04,-5.328688530855009E-05
2446436.500000000,-3.739961718514772E+00,-1.874966808150277E+01,-2.101878814119986E-02,3.833127356187594E-03,-9.481479082759558E-04,-5.338312978805496E-05
2446466.500000000,-3.624903276261784E+00,-1.877775051447063E+01,-2.261877874696680E-02,3.837489315407839E-03,-9.240242560240812E-04,-5.321219555905563E-05
2446496.500000000,-3.509714877256350E+00,-1.880511051694327E+01,-2.421765804732673E-02,3.841757441671197E-03,-8.999839466300882E-04,-5.331660910068164E-05
2446526.500000000,-3.394401891864553E+00,-1.883174868411540E+01,-2.581572436707643E-02,3.845684017916126E-03,-8.758730259038953E-04,-5.317616223799725E-05
2446556.500000000,-3.278967888941041E+00,-1.885766503942905E+01,-2.741200770796910E-02,3.849795112039379E-03,-8.518513701212175E-04,-5.316959838922239E-05
2446586.500000000,-3.163417169155584E+00,-1.888285962271475E+01,-2.900741751404612E-02,3.853491859560575E-03,-8.277678333706299E-04,-5.317941460985652E-05
2446616.500000000,-3.047753920018888E+00,-1.890733173043205E+01,-3.060136141450141E-02,3.857323166581581E-03,-8.036968113380511E-04,-5.312942816557108E-05
2446646.500000000,-2.931983245407771E+00,-1.893108029789795E+01,-3.219446501257496E-02,3.860676316880570E-03,-7.795555305423951E-04,-5.320553249264745E-05
2446676.500000000,-2.816111732224658E+00,-1.895410498461046E+01,-3.378572782148189E-02,3.864044134588500E-03,-7.554381751316224E-04,-5.297003591435897E-05
2446706.500000000,-2.700143851491765E+00,-1.897640686857016E+01,-3.537542439052171E-02,3.867176150877638E-03,-7.313755419530123E-04,-5.302757251985703E-05
