# NASA/JPL Horizons target 299 (venus), center 500@10, ECLIPTIC/ICRF, AU and AU/day
# State vectors 1977-08-21..2030-01-02 every 5d; retrieved 2026-09-24 by scripts/fetch_horizons.ps1
julian_date,x_au,y_au,z_au,vx_au_d,vy_au_d,vz_au_d
2443376.500000000,4.218309104305950E-01,5.859878988488987E-01,-1.638346039212178E-02,-1.647953267650999E-02,1.172832193080671E-02,1.111101962550438E-03
2443381.500000000,3.355639390565459E-01,6.386876954845025E-01,-1.068538281998869E-02,-1.797136914674119E-02,9.315937854993669E-03,1.164416989863828E-03
2443386.500000000,2.427005871248741E-01,6.788306516448274E-01,-4.777282188660220E-03,-1.911340984235489E-02,6.713723267277135E-03,1.194951970671425E-03
2443391.500000000,1.450541587672116E-01,7.055930602220688E-01,1.224933983649485E-03,-1.988110681118005E-02,3.972499823644089E-03,1.201981002660622E-03
2443396.500000000,4.454245084171934E-02,7.184141183032111E-01,7.202901914608934E-03,-2.025730887713735E-02,1.146432412024945E-03,1.185250754998589E-03
2443401.500000000,-5.685056927064441E-02,7.170099248825137E-01,1.303820469087569E-02,-2.023276992989569E-02,-1.708075688846007E-03,1.144994780762359E-03
2443406.500000000,-1.571152024511080E-01,7.013817146250448E-01,1.861481920034642E-02,-1.980648358298683E-02,-4.533578911481456E-03,1.081936577927003E-03
2443411.500000000,-2.542576544590856E-01,6.718179454449560E-01,2.382154873498734E-02,-1.898582494215263E-02,-7.272846292946139E-03,9.972807133513625E-04
2443416.500000000,-3.463418704902130E-01,6.288900212868285E-01,2.855438057998784E-02,-1.778648630946110E-02,-9.870144398426286E-03,8.926916587805711E-04
2443421.500000000,-4.315305167888707E-01,5.734416146052919E-01,3.271870703112902E-02,-1.623219970936013E-02,-1.227250784578259E-02,7.702603936319704E-04
2443426.500000000,-5.081240436774270E-01,5.065717514022320E-01,3.623135046064907E-02,-1.435424829784549E-02,-1.443095702782246E-02,6.324596239195320E-04
2443431.500000000,-5.745968036236464E-01,4.296120229478856E-01,3.902233864527545E-02,-1.219077979046439E-02,-1.630162324660876E-02,4.820888825402107E-04
2443436.500000000,-6.296292808327807E-01,3.440984800382180E-01,4.103638331235952E-02,-9.785941385228997E-03,-1.784674500958391E-02,3.222110139267546E-04
