# NASA/JPL Horizons target -32 (Voyager 2), heliocentric (500@10), ECLIPTIC/ICRF, AU and AU/day
# Cruise every 5d 1977-08-21..2030-01-02; within +/-40d of each giant-planet encounter rows are planet + planet-centred Voyager (6h, 10m within +/-3d, 1m within +/-6h of closest approach)
# Retrieved 2026-09-24 by scripts/fetch_horizons.ps1
julian_date,x_au,y_au,z_au,vx_au_d,vy_au_d,vz_au_d
2443376.500000000,8.598344571063372E-01,-5.318916791048778E-01,6.863788135015563E-04,1.017814944403598E-02,1.998625145768383E-02,1.903106663633620E-03
2443381.500000000,9.074936033226473E-01,-4.304201142680574E-01,1.009657774949759E-02,8.881744536701087E-03,2.062324836694183E-02,1.874045031537229E-03
2443386.500000000,9.485273350792870E-01,-3.258621036607718E-01,1.941613755599416E-02,7.520962261898964E-03,2.117526813639390E-02,1.851653292518867E-03
2443391.500000000,9.826214004271839E-01,-2.189264599671269E-01,2.859147677354268E-02,6.111200509325319E-03,2.157230587265644E-02,1.816356126595738E-03
2443396.500000000,1.009612458778153E+00,-1.104085209982433E-01,3.755939269900315E-02,4.685285783892656E-03,2.180796850590096E-02,1.768900727381286E-03
2443401.500000000,1.029501260498389E+00,-1.111014673728156E-03,4.626288720215309E-02,3.275450656603421E-03,2.188534778313954E-02,1.710901337256974E-03
2443406.500000000,1.042441899564509E+00,1.081988871478282E-01,5.465423343727312E-02,1.910388215852194E-03,2.181527636436929E-02,1.644403879661204E-03
2443411.500000000,1.048718773318973E+00,2.168233620656866E-01,6.269645906115025E-02,6.132863537815447E-04,2.161428458910419E-02,1.571624568402076E-03
2443416.500000000,1.048716339975700E+00,3.241566407046892E-01,7.036364174383750E-02,-5.990846339906131E-04,2.130227486422013E-02,1.494735877828658E-03
2443421.500000000,1.042886786739094E+00,4.296962525531266E-01,7.764027177429915E-02,-1.716329377988791E-03,2.090032868535148E-02,1.415709501934869E-03
2443426.500000000,1.031719759358842E+00,5.330443090188525E-01,8.451998803289656E-02,-2.733698156559311E-03,2.042895005582788E-02,1.336222682110822E-03
2443431.500000000,1.015723193198485E+00,6.339157317498306E-01,9.100962366624772E-02,-3.648784187877323E-03,1.991179723202333E-02,1.259555338580951E-03
2443436.500000000,9.953890484257082E-01,7.320948077445635E-01,9.711468994740216E-02,-4.469111266078959E-03,1.935531789141143E-02,1.182857592610985E-03
2443441.500000000,9.711847310794122E-01,8.274344370106631E-01,1.028426033201904E-01,-5.197891575417562E-03,1.877806653599936E-02,1.108793847568251E-03
2443446.500000000,9.435514986259839E-01,9.198593395485231E-01,1.082078354052857E-01,-5.841872357494587E-03,1.819105551021970E-02,1.037847704903873E-03
2443451.500000000,9.128950574791159E-01,1.009343232976002E+00,1.132267607469453E-01,-6.408426456475646E-03,1.760292040563865E-02,9.703047366137721E-04
2443456.500000000,8.795837788222730E-01,1.095897731377721E+00,1.179167830116769E-01,-6.905045885851345E-03,1.702024089136114E-02,9.062981837769376E-04
2443461.500000000,8.439490102488971E-01,1.179562920037388E+00,1.222956752134681E-01,-7.339003748957677E-03,1.644788207598766E-02,8.458485624608541E-04
2443466.500000000,8.062867358345361E-01,1.260399605729156E+00,1.263811003728102E-01,-7.717146696049663E-03,1.588931885788781E-02,7.888961891844025E-04
2443471.500000000,7.668600221498969E-01,1.338483103434302E+00,1.301902773863568E-01,-8.045782657289814E-03,1.534692413777521E-02,7.353268399026492E-04
2443476.500000000,7.259018498908322E-01,1.413898357264245E+00,1.337397596467982E-01,-8.330634538602156E-03,1.482221383434505E-02,6.849913525705479E-04
2443481.500000000,6.836180606417235E-01,1.486736177663337E+00,1.370452986517685E-01,-8.576837226502371E-03,1.431604878268365E-02,6.377201939837538E-04
2443486.500000000,6.401902460904920E-01,1.557090387802566E+00,1.401217699899794E-01,-8.788961289166482E-03,1.382879734575670E-02,5.933340070913764E-04
2443491.500000000,5.957784771494858E-01,1.625055696063860E+00,1.429831439457652E-01,-8.971051720170828E-03,1.336046420123914E-02,5.516510518715324E-04
2443496.500000000,5.505238184642915E-01,1.690726140088328E+00,1.456424872080105E-01,-9.126674054233209E-03,1.291079112815630E-02,5.124923269322168E-04
2443501.500000000,5.045506040274352E-01,1.754193975565583E+00,1.481119857411296E-01,-9.258963202143018E-03,1.247933483459471E-02,4.756849979128612E-04
2443506.500000000,4.579684690147652E-01,1.815548904844251E+00,1.504029814022883E-01,-9.370671556523262E-03,1.206552567976024E-02,4.410645130619501E-04
2443511.500000000,4.108741493067253E-01,1.874877560184961E+00,1.525260164489445E-01,-9.464213497701917E-03,1.166871161877704E-02,4.084757048995636E-04
2443516.500000000,3.633530689643109E-01,1.932263179119058E+00,1.544908818605024E-01,-9.541705805191335E-03,1.128819164270831E-02,3.777732763682707E-04
2443521.500000000,3.154807347029708E-01,1.987785425614385E+00,1.563066671175771E-01,-9.605004467443654E-03,1.092324090341021E-02,3.488219191089599E-04
2443526.500000000,2.673239556396476E-01,2.041520319098120E+00,1.579818098386352E-01,-9.655737714271598E-03,1.057312899555219E-02,3.214961498516705E-04
2443531.500000000,2.189419076129764E-01,2.093540241131873E+00,1.595241440573400E-01,-9.695335173109313E-03,1.023713298968661E-02,2.956799445880988E-04
2443536.500000000,1.703870609515229E-01,2.143913997005157E+00,1.609409463337404E-01,-9.725053389910053E-03,9.914546559044633E-03,2.712662494879587E-04
2443541.500000000,1.217059889737518E-01,2.192706915330450E+00,1.622389792374032E-01,-9.745998078084839E-03,9.604686194947747E-03,2.481564266715024E-04
2443546.500000000,7.294007264786199E-02,2.239980973015980E+00,1.634245319803053E-01,-9.759143467003906E-03,9.306895248659000E-03,2.262596734710344E-04
2443551.500000000,2.412611501674614E-02,2.285794936205499E+00,1.645034581343465E-01,-9.765349099640762E-03,9.020546356209301E-03,2.054924403684103E-04
2443556.500000000,-2.470312264557887E-02,2.330204510200250E+00,1.654812104702602E-01,-9.765374400715891E-03,8.745042668524518E-03,1.857778636728109E-04
2443561.500000000,-7.351845256639744E-02,2.373262493229832E+00,1.663628730178652E-01,-9.759891301170564E-03,8.479818205660948E-03,1.670452225643817E-04
2443566.500000000,-1.222938509895717E-01,2.415018930317618E+00,1.671531904832148E-01,-9.749495168811654E-03,8.224337575651471E-03,1.492294252343500E-04
